x,y,g,id,date
-87.672672,41.971655,27.9564583333,0iUqp3uFmsHzysIgvmeYQQ,2016-09
-87.672690,41.972257,30.5875,0u-N0R4x8cQpZgsiXBuxdw,2015-08
-87.672711,41.972947,27.0186458333,wI0oVei8z5tNhrKG9lgyJQ,2015-08
-87.670626,41.954338,25.0505208333,88ufkdzV5qnbGkNKiybCEg,2018-07
-87.670736,41.958316,38.69125,rOz1_-V_-nMRX0BLmD6kSA,2017-09
-87.670757,41.958969,40.3052083333,n9B3J4Hmg7_zDxnHW6HUtA,2017-09
-87.670777,41.959605,38.2188541667,bIrt9qBpjlgbyiFyUjJAMg,2017-09
-87.670794,41.960243,31.99125,zhAiWkWRGjsMdZ5o1Tf19g,2017-09
-87.670813,41.960993,30.1129166667,_fmSUFbKFQJPeYTFpqmXxw,2017-09
-87.670829,41.961624,21.6134375,SQQWEPhY_7WvvhG9F40a8Q,2016-08
-87.670849,41.962334,41.6609375,-6rAIt8-KJ_Bh-6p_moMbA,2016-08
-87.670871,41.963007,42.0196875,yRdicOfvwQ_kOUBYd31y6Q,2016-08
-87.670932,41.965664,31.3669791667,TEpSQZsM4GPXfFT08G0-gQ,2016-08
-87.670947,41.966274,30.84125,eIbCkkngoPb8kyvBJwjv3w,2016-08
-87.670962,41.966948,30.7491666667,qMKY0brixgUyQIeEh5mE0A,2016-08
-87.674503,41.961495,23.1148958333,m4GxzdUhQS898m-dgAv-ug,2018-06
-87.674423,41.960865,10.4258333333,UHeYIOQH_MPFS2TVyAtJWA,2018-06
-87.674407,41.960217,10.8211458333,C9cyYt0AxuaS_ACRMf5JcA,2018-06
-87.674428,41.959499,14.3396875,6NJU2UmqTlgb0Le7OOrfkw,2018-06
-87.674411,41.958854,18.1719791667,SibDbTDHV6GkAdPRcqP7lQ,2018-06
-87.674363,41.958230,18.76875,hwryjfPmcIlAFF_SSPDDMw,2018-06
-87.835657,41.944783,30.73125,vVHE2Y73kGFAXoKq4alQVg,2017-08
-87.834739,41.944807,28.2832291667,wY4NKCandTolt1dya1uPrA,2017-08
-87.833760,41.944829,33.3060416667,Iih_ZTUUJnLiPXem1cAGOg,2017-08
-87.832913,41.944858,23.2752083333,HJbQPYf4Puqle9wiKat_Gg,2017-08
-87.832039,41.944883,22.2188541667,QjUV0dehF-ejbci3_-vvSQ,2017-08
-87.631245,41.896623,5.20322916667,ENRMzkH_Orff5gzBXvd_5A,2018-07
-87.631221,41.895988,12.0116666667,HDLH6OLRbqCYzfJ8KtIFCQ,2018-06
-87.631194,41.895311,16.6988541667,q4GeJiWDgCLebFt25Te52w,2018-07
-87.631181,41.894590,12.0920833333,S7szma6WDrw2d8mairCD7Q,2018-06
-87.631187,41.893918,5.4615625,idFObYbRN5tZUve-hk122A,2018-07
-87.631156,41.893230,8.09375,pRKxf27DWNXA8CDuWFjnSw,2018-07
-87.624537,41.877000,3.22979166667,XwQy5NCOWhh-YKWGv6LW0g,2018-07
-87.625274,41.876979,2.545625,CVedJOWnBV5ht_ED0fcZBA,2018-07
-87.626224,41.876953,1.44958333333,m_y4A0jmFPOQYFY1NCXmXg,2018-07
-87.627215,41.876936,3.03041666667,V0s_4YK90v80eklfJdxlyQ,2018-07
-87.627710,41.876927,5.521875,zje0WRSy8jajp5BB3wCPEg,2018-07
-87.628624,41.876913,7.78197916667,MGIqrSh5YsB76SaCk3mupw,2018-06
-87.629485,41.876904,2.455625,dr98Br8GeBi21J2qFLUFHw,2018-06
-87.630424,41.876891,0.3034375,bKnmQgHJhJHB-jKdQG9_jA,2018-06
-87.631254,41.876880,1.98729166667,7KgeusSS5AW0W0oWYKC_rA,2018-06
-87.632186,41.876870,0.118229166667,_USVIRwmndmD1V93R3An_Q,2018-06
-87.633102,41.876858,1.863125,7UC801lfMXWnmTUoHbjdCg,2018-07
-87.626936,41.878225,9.15645833333,sFK4zBQlhnq_jvSrTeCxfg,2018-07
-87.661890,41.877714,19.4010416667,JUky6yQ74zwXWjiQCsj-bg,2018-06
-87.661043,41.877723,27.4555208333,Kzhbdleq_enltFeTcFDGug,2018-06
-87.660113,41.877732,22.035,h0kp2KnJ-IkqOCJUf_SzrQ,2018-06
-87.659132,41.877745,24.6983333333,CoBd34GZP_uPDbFIPUZmqw,2018-06
-87.658306,41.877761,5.35197916667,xpwnP0hC4U3V0c5asg6l7w,2018-06
-87.657422,41.877778,3.88625,4WqyvPdLi6dJ2_ghMQkTog,2018-06
-87.656458,41.877795,4.79864583333,AsnjWWDUHBvcq4HPCt8JbQ,2017-07
-87.655544,41.877810,7.98604166667,EdJvZk6hmgSJhBUR7cbdkA,2017-07
-87.654643,41.877827,10.2578125,bJMdKZPWUVXTNVcCOvBI5g,2017-07
-87.653743,41.877848,3.3878125,TM8juXieNLC-wy_PVLtonQ,2017-07
-87.652958,41.877858,11.4060416667,AVwE_YRo9agVrPUwmO2L1w,2017-07
-87.639582,41.878043,1.17416666667,oC-Jy5HTGQ56vB9czJwXug,2018-06
-87.638705,41.878057,6.17427083333,G4KmU29Ef8dpJglSHoPqSQ,2018-07
-87.619264,41.900077,4.81104166667,pB7jGFNvdzdtyvLxyywkEw,2018-06
-87.620175,41.900056,17.3396875,g_G5KxdizO3MAjJDY0uJ8A,2018-06
-87.621026,41.900052,20.3898958333,XmEEhVPStobXeGWJh2s_OQ,2018-06
-87.621833,41.896773,28.8897916667,s8q_xTr8hinMZHuqup9YsQ,2018-07
-87.621835,41.897356,29.8909375,j69clPfEgFsblXpXq4918Q,2018-07
-87.620221,41.897624,33.5116666667,lBC91ZEqUZl39Xf7QWDkJA,2017-09
-87.620200,41.898356,22.3336458333,sWjEc1iRJEW2Sl6Y4nzaeQ,2018-06
-87.620215,41.898998,13.8935416667,NXWZgiouNyiolGQ7TpqsRA,2018-06
-87.672172,41.896023,3.00291666667,bd1zh4vg1_jiORv6gsgyMg,2018-06
-87.671313,41.896002,1.49614583333,wVBWiU3Acjik-H2QBfaqvQ,2018-06
-87.670328,41.896015,4.31645833333,DIDGyNgkx5-1ICKPcS3nWw,2018-06
